Kjøper,Postnr.,Latitude,Longitude,cleaned_postal_code
GRENLAND BIL AS,3735,59.1769,9.6167,3735
KSL AUTO AS,1814,59.5912,11.1869,1814
KSL AUTO AS,1814,59.5912,11.1869,1814
VOITURE INVEST AS,1414,59.8148,10.7817,1414
LØVÅS BIL AS,3612,59.6786,9.6997,3612
JAN-ARILD OVERÅ,7045,63.4305,10.3951,7045
AUTO B AS,3055,59.764,10.015,3055
BILLAGERET AS,2323,60.8273,11.1324,2323
FOLLO BILSENTER AS,1820,59.6865,11.2128,1820
BILER ZDRAVKOVIC,1850,59.6019,11.3933,1850
BN OSLO AS,0454,59.9127,10.7461,0454
BN OSLO AS,0454,59.9127,10.7461,0454
ACTIVE AUTO AS,2069,60.1571,11.185,2069
BILER ZDRAVKOVIC,1850,59.6019,11.3933,1850
ARUS BIL AS,3520,60.2802,10.3923,3520
BILLAGERET AS,2323,60.8273,11.1324,2323
BN OSLO AS,0454,59.9127,10.7461,0454
VOITURE INVEST AS,1414,59.8148,10.7817,1414
Nordens Elbil AS,2072,60.252,11.1806,2072
ÅLESUND BRUKTBIL AS,6010,62.4723,6.1549,6010
AMATIK AS,1415,59.7619,10.8198,1415
CARMAX AUTO ZELON MOHAMMED SABER SABER,3414,59.7553,10.2565,3414
AQUA BIL AS,2625,61.1684,10.4048,2625
AUTOPARTNER OSLO AS,0668,59.9127,10.7461,0668
ASKIM AUTO AS,1831,59.5822,11.1527,1831
FREDRIKSTAD BRUKTBIL AS,1617,59.2344,10.9694,1617
FINSTAD BIL AS,3219,59.1141,10.247,3219
OSLO VAREBIL SPESIALISTEN AS,0668,59.9127,10.7461,0668
SANDEFJORD AUTOSENTER AS,3236,59.1265,10.2693,3236
OSLO BIL AUTO AS,1481,59.975,10.9391,1481
TINIUS BILSENTER AS,1940,59.879,11.5629,1940
AUTOMOTOR AS,3735,59.1769,9.6167,3735
GARDERMOEN BILSENTER AS,2072,60.252,11.1806,2072
LANGRUTE AS,1930,59.8202,11.6132,1930
Bilhaugen B Å Skålevik,5221,60.3182,5.3532,5221
SKIEN BILFORUM AS,3726,59.2165,9.5699,3726
TRØNDELAG BIL AS,7038,63.4305,10.3951,7038
SIGMA BIL,5224,60.3182,5.3532,5224
BY NORDAL & JOHNSEN AS,4018,58.9701,5.7333,4018
BIL OG MIRAKEL AS,3539,60.5565,10.0877,3539
AUTOPORTAL AS,7041,63.4305,10.3951,7041
AUTOAMA AS,3735,59.1769,9.6167,3735
TRANSNORD AS,0571,59.9127,10.7461,0571
NORSK AUTOSENTER AS,0675,59.9127,10.7461,0675
A AUTO AS,1266,59.9127,10.7461,1266
ABS AUTO AS,5353,60.3613,5.122,5353
BIL-KOMPANIET AS,4053,58.9039,5.6237,4053
WEBERG AUTO AS,1722,59.2715,11.0857,1722
MOSS AUTOINVEST AS,1511,59.4377,10.64,1511
GARDERMOEN BILSENTER AS,2072,60.252,11.1806,2072
AMATIK AS,1415,59.7619,10.8198,1415
RS AUTO AS,4016,58.9701,5.7333,4016
ÅLESUND BRUKTBIL AS,6010,62.4723,6.1549,6010
SLH INVEST AS,2040,60.0539,11.1413,2040
OSLO BIL AUTO AS,1481,59.975,10.9391,1481
BIL RINGEN K Rode,2013,59.9663,10.9954,2013
