Kjøper,Postnr.,Latitude,Longitude,cleaned_postal_code
AUTOAMA AS,3735,59.1769,9.6167,3735
RA BILVERKSTED AS,4636,58.1467,7.9956,4636
AR AUTO AS,4327,58.8524,5.7352,4327
BILBRØDRENE AS,3735,59.1769,9.6167,3735
AUTO24 AS,2640,61.595,9.7513,2640
TRONDHEIM BILFORMIDLING AS AVD TRONDHEIM,7038,63.4305,10.3951,7038
ERA LINE AS,4031,58.9701,5.7333,4031
BILLAGERET AS,2323,60.8273,11.1324,2323
NORDIC BIL AS,3080,59.567,10.158,3080
GRIMSTAD ANTIRUST & BILPLEIE V/CHRISTIAN BJELLAND OLSEN,4886,58.3405,8.5934,4886
ARUS BIL AS,3520,60.2802,10.3923,3520
B AUTO ALHAJI,4365,58.6655,5.6379,4365
TRONDHEIM BILFORMIDLING AS AVD TRONDHEIM,7038,63.4305,10.3951,7038
AUTO HUB AS,1903,59.867,11.2387,1903
SULLAND ØSTFOLD AS AVD FREDRIKSTAD,1617,59.2344,10.9694,1617
TRYSIL BIL & BILUTLEIE AS,2420,61.3148,12.2637,2420
JAN-ARILD OVERÅ,7045,63.4305,10.3951,7045
BILIN BRUKTBIL AS,2060,60.1993,11.074,2060
TM BIL AS,2320,60.8355,11.0241,2320
BIL OG MIRAKEL AS,3539,60.5565,10.0877,3539
CMA BIL AS,3514,60.5565,10.0877,3514
BMC BYGG AS,2387,60.8809,10.9395,2387
INVEST AUTO AS,1664,59.2634,11.005,1664
TRØNDELAG BILDELER AS,7550,63.4108,10.7942,7550
TRØNDELAG BILDELER AS,7550,63.4108,10.7942,7550
TRØNDELAG BILDELER AS,7550,63.4108,10.7942,7550
VIDAR OPHEIM AS,3550,60.5565,10.0877,3550
BIZ BIL AS,0678,59.9127,10.7461,0678
CARTRADE AS,2007,59.9752,11.0421,2007
AUTOPARTNER OSLO AS,0668,59.9127,10.7461,0668
TRYSIL BIL & BILUTLEIE AS,2420,61.3148,12.2637,2420
TRONDHEIM BILFORMIDLING AS AVD TRONDHEIM,7038,63.4305,10.3951,7038
BIL OG MIRAKEL AS,3539,60.5565,10.0877,3539
N-AUTO,4250,59.2835,5.3067,4250
PANORAMA AUTO AS,3946,59.1213,9.6922,3946
JAN-ARILD OVERÅ,7045,63.4305,10.3951,7045
TIND BIL AS,6416,62.7375,7.1591,6416
CASTEL AUTO SALES AS,1661,59.2461,10.997,1661
BJ BIL 1 AS,5052,60.393,5.3242,5052
SULLAND DRAMMEN AS BILFORRETNING/ADMINISTRASJON,3023,59.752,10.1611,3023
A AUTO AS,1266,59.9127,10.7461,1266
TRONDHEIM BILFORMIDLING AS AVD TRONDHEIM,7038,63.4305,10.3951,7038
ÅLESUND BRUKTBIL AS,6010,62.4723,6.1549,6010
N-AUTO,4250,59.2835,5.3067,4250
VORTEX BIL & BUSS AS,1349,59.9284,10.4726,1349
SKEDSMO BIL HAMA,2000,59.9481,11.112,2000
GARBERG AUTO AS,7580,63.2491,10.9486,7580
C.S BIL NORGE AS,3731,59.1977,9.5354,3731
IMPORTSERVICE BIL AS,3515,60.5565,10.0877,3515
NOR-TRADE,7037,63.4305,10.3951,7037
TRONDHEIM BILFORMIDLING AS AVD TRONDHEIM,7038,63.4305,10.3951,7038
TRØNDELAG BILDELER AS,7550,63.4108,10.7942,7550
TRØNDELAG BILDELER AS,7550,63.4108,10.7942,7550
AUTOMOBIL 1 AS,0665,59.9127,10.7461,0665
TRONDHEIM BILFORMIDLING AS AVD TRONDHEIM,7038,63.4305,10.3951,7038
AUTOSELEKT AS,1739,59.2693,11.1756,1739
TRONDHEIM BILFORMIDLING AS AVD TRONDHEIM,7038,63.4305,10.3951,7038
WANGEN AUTO AS,2322,60.8013,11.1305,2322
ROMERIKE AUTOHUS AS,2040,60.0539,11.1413,2040
TRONDHEIM BILFORMIDLING AS AVD TRONDHEIM,7038,63.4305,10.3951,7038
WANGEN AUTO AS,2322,60.8013,11.1305,2322
SANDBERG BILFORMIDLING AS,1827,59.5757,10.8747,1827
WANGEN AUTO AS,2322,60.8013,11.1305,2322
AUTO SYD AS,7032,63.4305,10.3951,7032
NEXT AUTO AS,1455,59.7599,10.6592,1455
TRONDHEIM BILFORMIDLING AS AVD TRONDHEIM,7038,63.4305,10.3951,7038
MG-AUTO AS,7505,63.468,10.9178,7505
WANGEN AUTO AS,2322,60.8013,11.1305,2322
NORDIKO BIL AS,3029,59.7616,10.1268,3029
BRUMUNDDAL BILPLEIE OG BYGGESERVICE AS,2383,60.8809,10.9395,2383
LØRENSKOG BIL HAMA,2010,59.9487,11.0225,2010
BUTT INVEST AS,0982,59.9127,10.7461,0982
TRONDHEIM BILFORMIDLING AS AVD TRONDHEIM,7038,63.4305,10.3951,7038
AUTO HUB AS,1903,59.867,11.2387,1903
EVJEN BIL,3027,59.7539,10.1184,3027
CABO BILSENTER AS,7037,63.4305,10.3951,7037
CASTEL AUTO SALES AS,1661,59.2461,10.997,1661
MOBILE TRADING AS,3170,59.2809,10.3315,3170
TRØNDELAG BILDELER AS,7550,63.4108,10.7942,7550
WIIK AUTO AS,2335,60.718,11.1942,2335
I. H. SERVICE AS,2055,60.1863,11.256,2055
BIL OG MIRAKEL AS,3539,60.5565,10.0877,3539
AUTO UTVIK AS,5542,59.3765,5.2985,5542
PANORAMA AUTO AS,3946,59.1213,9.6922,3946
OSLO BIL AUTO AS,1481,59.975,10.9391,1481
VORTEX BIL & BUSS AS,1349,59.9284,10.4726,1349
TRONDHEIM BILFORMIDLING AS AVD TRONDHEIM,7038,63.4305,10.3951,7038
