Kjøper,Postnr.,Latitude,Longitude,cleaned_postal_code
TRYSIL BIL & BILUTLEIE AS,2420,61.3148,12.2637,2420
Vkn Auto AS,3048,59.7463,10.1072,3048
DAL AUTO AS,2072,60.252,11.1806,2072
Vkn Auto AS,3048,59.7463,10.1072,3048
ALDO BIL AS,0366,59.9127,10.7461,0366
DIAMANT BILPLEIE & BILSALG AS,1623,59.2036,10.8582,1623
BILMEGLERNE AS,2322,60.8013,11.1305,2322
MOTORSENTERET HEIDAL AS,2676,61.7581,9.2844,2676
GARDERMOEN AUTOPARTNER AS,2072,60.252,11.1806,2072
ÅLESUND BRUKTBIL AS,6010,62.4723,6.1549,6010
BILNETT AS,3018,59.749,10.1832,3018
VORTEX BIL & BUSS AS,1349,59.9284,10.4726,1349
NORDISK AUTO AS,1470,59.938,10.9548,1470
RØHNESELMER AS AVD HØNEFOSS,3511,60.5565,10.0877,3511
LILLESAND AUTO AS,4790,58.2488,8.3778,4790
NORBIL GRUPPEN AS,2066,60.1479,11.1702,2066
AUTOWAGON AS,4016,58.9701,5.7333,4016
WIIK AUTO AS,2335,60.718,11.1942,2335
AUTO B AS,3055,59.764,10.015,3055
FREDRIKSTAD BILPLEIE SERVICE FARHAD TAHA KADIR,1605,59.2204,10.9478,1605
NS MOTORGROUP BIN KHADRA,3735,59.1769,9.6167,3735
AUTO HUB AS,1903,59.867,11.2387,1903
INVIGO AS,3055,59.764,10.015,3055
FLISA BIL  AS,2270,60.6132,12.0109,2270
FLYTTOM AS,4027,58.9701,5.7333,4027
OSLO BILSENTER,0663,59.9127,10.7461,0663
AUTOAMA AS,3735,59.1769,9.6167,3735
RØHNESELMER AS AVD HØNEFOSS,3511,60.5565,10.0877,3511
AUTOMOTOR AS,3735,59.1769,9.6167,3735
AUTO MIRANI,1617,59.2344,10.9694,1617
PÅL SIGURD MOSTAD,1605,59.2204,10.9478,1605
AUTOMOTOR AS,3735,59.1769,9.6167,3735
PMP PAULAUSKAS,0596,59.9127,10.7461,0596
JuTo Bil AS,1476,59.9184,10.9381,1476
AUTOSELEKT AS,1739,59.2693,11.1756,1739
